bookId,CN01,CN02,CN03,CN04,CN05,CN06,CN07,CN08,DL40,ĐS01,ĐS02,ĐS03,ĐS04,DS05,DS06,DS07,DS08,GD01,GD02,GD03,GD04,GD05,GD06,GD07,GD08,GD09,GD10,GD11,GD12,GD13,GD14,GD15,GD16,GD17,GD18,GD19,GD20,GD21,GD22,GD23,GD24,GD25,GD26,GD27,GD28,GD29,GD30,GD31,GD32,GD33,GD34,GD35,GD36,GD37,GD38,GD39,GD41,GD42,GD43,GD44,GD45,GD46,GD47,GD48,GD49,GD50,GD51,GD52,GD53,GD54,GD55,GD56,GD57,GD58,GD59,KD01,KD02,KD03,KD04,KD05,KD06,KD07,KD08,LS01,LS02,LS03,LS04,LS05,LS06,LS07,LS08,LT01,LT02,LT03,LT04,LT05,LT06,LT07,LT08,MK01,MK02,MK03,MK04,MK05,MK06,MK07,MK08,SK01,SK02,SK03,SK04,SK05,SK06,SK07,SK08,TT01,TT02,TT03,TT04,TT05,TT06,TT07,TT08
CN01,1.0000000000000002,0.0,0.1063553473982625,0.06711860249602611,0.07797222909283777,0.0,0.15944877793137235,0.19647847661780832,0.0,0.052289157956489356,0.0,0.0,0.05938206613291045,0.07293957037613157,0.0,0.04495938959241797,0.059612650069413034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06427871268338622,0.0,0.0,0.0,0.07278249005313184,0.0,0.0873236827881126,0.0,0.07815072440450116,0.05851794177453054,0.0,0.06697587589133512,0.06314147315405892,0.0,0.036805045718090526,0.0,0.0,0.06487772579796462,0.0,0.05571364714705743,0.1349655232179235,0.0,0.0,0.08856848872934447,0.22587397082493477,0.0,0.14160467885619904,0.0,0.0,0.1421921275565547,0.0,0.13055600824288285,0.10545571733374016,0.09450878833620242,0.20926578325600803,0.07079649798750828,0.0,0.0,0.05458733624121795,0.08661322349524823,0.0,0.046705672541108585,0.0,0.2387577297004177,0.14382404207023392,0.07228201722310372,0.06306586471724676,0.20465740658658066,0.06451779411664854,0.0,0.10569549886252737,0.0,0.0,0.05277962620214969,0.06320705489188179,0.0,0.0,0.0,0.0,0.0,0.0,0.01917650286948619,0.04537788117493484,0.10925462876502466,0.03983943157048466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045542035323881666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09304911912803542,0.0,0.0,0.0,0.0,0.03519436628254996,0.054099073086162144,0.0,0.0,0.0,0.0,0.0,0.0
CN02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28197279018724686,0.0,0.041818735160300505,0.003204958158728391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496368394873382,0.07659498112086395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06082307382715442,0.0,0.0,0.0,0.0,0.11435971784037718,0.07555546089477666,0.0,0.10931279513334313,0.0,0.0,0.0,0.0,0.0,0.0,0.11365766324947192,0.0,0.0,0.0,0.0,0.11866999510262018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02791849966517663,0.022997383683256253,0.0,0.0,0.038391081616737925,0.03693827822230168,0.0,0.0,0.03692552876424934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025305125493553286,0.0,0.0,0.13802959772900505,0.0722328531839198,0.013730277116515591,0.06616376774996655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN03,0.1063553473982625,0.0,0.9999999999999997,0.09768926816041448,0.10851881650639288,0.0,0.10084251118958895,0.21021479921763545,0.0,0.03170458109762592,0.0,0.0,0.030823485954882254,0.017159679700991193,0.0,0.03833248516798522,0.09874456560764996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06457596117215253,0.0,0.0,0.0,0.0728341752865883,0.0,0.056595098997240925,0.0,0.046655636434454056,0.04452176591308793,0.0,0.03142184740667038,0.10132095067054762,0.0,0.04780878253410801,0.0,0.0,0.06225141010496353,0.0,0.04010022916357077,0.1208583654397732,0.0,0.0,0.10657194938935602,0.17028676571234655,0.0,0.08703783862511111,0.0,0.0,0.097666295409148,0.0,0.06336510347545277,0.09628251923410254,0.0916026723260051,0.07157887912330664,0.057197955286660586,0.0,0.0,0.012350357884822829,0.10317055413391969,0.0,0.054166838816338055,0.0,0.1200063145513699,0.0971071763812536,0.06013710887566813,0.04543330046582365,0.15895699073146,0.08360401382676946,0.0,0.10735982380246913,0.0,0.0,0.02700726088572597,0.033158772052828314,0.0,0.0,0.0,0.0,0.0,0.0,0.019077817660759083,0.04379307156221861,0.06407506811932849,0.03738357064675987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019606380873500983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037932837701990164,0.0,0.0,0.0,0.0,0.04051603970216107,0.04614280075614511,0.0,0.0,0.0,0.0,0.0,0.0
CN04,0.06711860249602611,0.0,0.09768926816041448,1.0000000000000002,0.08163911679616144,0.0,0.0889776749914727,0.17187664930161634,0.0,0.1049536271000471,0.0,0.0,0.08899436231745868,0.08084064280301163,0.0,0.07494747878179106,0.1107779672135307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06998363509466958,0.0,0.0,0.0,0.16242743084017874,0.0,0.11305797931486103,0.0,0.06843184995117128,0.06349060642811709,0.0,0.10286200424227053,0.07215656855303038,0.0,0.09404785444262528,0.0,0.0,0.06684644357934368,0.0,0.08810957116700548,0.1043098477166923,0.0,0.0,0.13022084661857317,0.12021732907352745,0.0,0.1357359347260734,0.0,0.0,0.10205152509699673,0.0,0.12530570790654366,0.08535925343839003,0.06291925326717426,0.07447355663976031,0.07880609489204803,0.0,0.0,0.07013954387591782,0.14766347176536904,0.0,0.10971774691267411,0.0,0.11343333956695692,0.1012072170570057,0.11556040242369771,0.05996659782917514,0.16009029362651528,0.07747073513004488,0.0,0.07336339590475,0.0,0.0,0.0099681309758839,0.09354785409438168,0.0,0.0,0.0,0.0,0.0,0.0,0.003488641582748558,0.10365936214356576,0.07056359000085449,0.04930520657894411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06267997952118845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10705881696445618,0.0,0.0,0.0,0.0,0.0538554459024088,0.04882754211755274,0.0,0.0,0.0,0.0,0.0,0.0
CN05,0.07797222909283777,0.0,0.10851881650639288,0.08163911679616144,0.9999999999999967,0.0,0.06669309753756134,0.12698988033973557,0.0,0.08134268023107477,0.0,0.0,0.08696973348885138,0.0688847593211487,0.0,0.09195207702003066,0.0788690403829857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1228532642697037,0.0,0.0,0.0,0.10705736272144892,0.0,0.08982498622044532,0.0,0.046722353804304305,0.08480658724974947,0.0,0.1240652865591438,0.11640757340060144,0.0,0.12641783106072996,0.0,0.0,0.07941964361265653,0.0,0.14113196872312062,0.12968461972524276,0.0,0.0,0.11419377432691036,0.14914939207944028,0.0,0.09759058980604805,0.0,0.0,0.07739477641489875,0.0,0.1195232668138768,0.15282536944934458,0.12711092988650313,0.0906777865757873,0.0509409556709117,0.0,0.0,0.05387277928267798,0.12313924548082683,0.0,0.08192624659520087,0.0,0.13604368989484625,0.14824411018339861,0.10461474604847798,0.07235581447066922,0.21324398312893603,0.11604141225258727,0.0,0.14853917960007912,0.0,0.0,0.04043592150961191,0.07538014358919863,0.0,0.0,0.0,0.0,0.0,0.0,0.02600454590746898,0.1220467199192356,0.06224605556531552,0.14841492995392402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05754331772761236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09410881014587005,0.0,0.0,0.0,0.0,0.0418355990803044,0.08458725524649971,0.0,0.0,0.0,0.0,0.0,0.0
CN06,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040270888049608565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08996798992659334,0.0,0.0,0.0,0.051690577914413276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04942015172014932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04891196682940484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06158158060288548,0.018433975898251197,0.0,0.0,0.0,0.034586291038336776,0.0,0.0,0.0,0.0,0.0,0.13471089531561495,0.09912571202928033,0.13170555844538798,0.0,0.09728988041068179,0.30552832232444876,0.0832735031618547,0.11449039140842537,0.0,0.0,0.034358261914643626,0.0,0.0,0.0,0.0,0.0
CN07,0.15944877793137235,0.0,0.10084251118958895,0.0889776749914727,0.06669309753756134,0.0,1.0000000000000002,0.14560209113967035,0.0,0.029479483505160914,0.0,0.0,0.018645958709161192,0.047446972437786304,0.0,0.05655304043412006,0.11349218518007705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04357671103524641,0.0,0.0,0.0,0.11390451648724663,0.0,0.06405765920881402,0.0,0.04336935530144127,0.020425261906604434,0.0,0.04193518899572668,0.04162353566531273,0.0,0.015356050207397574,0.0,0.0,0.07978832092144146,0.0,0.0583422320623804,0.10964021202558705,0.0,0.0,0.04141442191123782,0.1036478598703902,0.0,0.05312803348456816,0.0,0.0,0.044275012506841654,0.0,0.06002542919707445,0.10187259789434816,0.04618933654417305,0.026990185047652625,0.019349369865795066,0.0,0.0,0.029107051678364658,0.04353443430888269,0.0,0.03905193060256397,0.0,0.09464332157632332,0.05791343391783454,0.09566212872675701,0.03657253083419308,0.13465624531759368,0.03705450687148318,0.0,0.034416999888053426,0.0,0.0,0.020123512701692384,0.03714178808322983,0.0,0.0,0.0,0.0,0.0,0.0,0.01161634928214142,0.03199948337526929,0.03729943926536442,0.014417659983929099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09483448156864019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038251277402596526,0.0,0.0,0.0,0.0,0.03328433879856666,0.030685260266390818,0.0,0.0,0.0,0.0,0.0,0.0
CN08,0.19647847661780832,0.0,0.21021479921763545,0.17187664930161634,0.12698988033973557,0.0,0.14560209113967035,1.0000000000000002,0.0,0.04662752985675278,0.0,0.0,0.11234828438072886,0.04143744515531676,0.0,0.05851049710675459,0.08150020790944693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738973767550837,0.0,0.0,0.0,0.11520535914680831,0.0,0.06062684060790892,0.0,0.03312004884824388,0.07506587198223139,0.0,0.0817454403441385,0.06755157047716183,0.0,0.07683682845311196,0.0,0.0,0.042671665624479875,0.0,0.09421227759130921,0.1264675706474986,0.0,0.0,0.06498771584354496,0.204131274559376,0.0,0.07805344036955159,0.0,0.0,0.07077944869759083,0.0,0.14595787745701863,0.0932212592294749,0.08357670422779068,0.05547510042882991,0.05301029412938468,0.0,0.0,0.02243062876329857,0.08449869256628445,0.0,0.054577563532826806,0.0,0.08810865173968141,0.11205446440539137,0.0743496629356297,0.07978059688218295,0.2972940124378149,0.06136790575942074,0.0,0.10790393370140731,0.0,0.0,0.028978823926505207,0.03602779904691675,0.0,0.0,0.0,0.0,0.0,0.0,0.00611501120738007,0.03201316241506803,0.09352553418202506,0.04115015035992647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043214313187900644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712435500375913,0.0,0.0,0.0,0.0,0.07130749108608421,0.045906099330833804,0.0,0.0,0.0,0.0,0.0,0.0
DL40,0.0,0.28197279018724686,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000007,0.0,0.09197901198491071,0.03329507045668363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06791993263958868,0.15338803022275826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13101916119497112,0.0,0.0,0.0,0.0,0.2172372621813013,0.17746692889792035,0.0,0.23052290213135707,0.0,0.0,0.0,0.0,0.0,0.0,0.20715431521335603,0.0,0.0,0.0,0.0,0.21525473888652558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10484928114383839,0.1198756505522509,0.0,0.0,0.12612717232027654,0.16713795144980872,0.0,0.0,0.11663681647057952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12341837552251089,0.0,0.0,0.13741811794443273,0.2271244888359742,0.08263792119498123,0.176996423798381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ĐS01,0.052289157956489356,0.0,0.03170458109762592,0.1049536271000471,0.08134268023107477,0.0,0.029479483505160914,0.04662752985675278,0.0,1.0000000000000002,0.0,0.0,0.10961893407404547,0.13397130093765502,0.0,0.06408592347483143,0.09882112271733072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061141677225625975,0.0,0.0,0.0,0.08718141837113487,0.0,0.0736417033288612,0.0,0.06379334073062613,0.07791836062202719,0.0,0.09906328372787607,0.0521519116444475,0.0,0.08520426300747554,0.0,0.0,0.10053752935618453,0.0,0.07510441894756101,0.12740400464386878,0.0,0.0,0.0893686459519493,0.0903749193265792,0.0,0.13024252548290668,0.0,0.0,0.0980095393683138,0.0,0.12344599062051369,0.16825100991208142,0.062415747933133474,0.12397993533893377,0.09151688452061234,0.0,0.0,0.06120019108431226,0.17145525531670097,0.0,0.1171579050325881,0.0,0.10660239163986446,0.15991062078127502,0.15672415005656454,0.12226176066249302,0.11677484977949865,0.12642940579707043,0.0,0.0812093571906978,0.0,0.0,0.016095924805139574,0.12165971034791699,0.0,0.0,0.0,0.0,0.0,0.0,0.004292881765652906,0.0548291804577941,0.08221057827925236,0.04248362163183345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678996101811652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10620647139749366,0.0,0.0,0.0,0.0,0.0873960916283194,0.0448800390521521,0.0,0.0,0.0,0.0,0.0,0.0
